Name,EmployeeNumber,Grade,Grade/Atten,RoundPercent,RawPercent,IncDer,% Missed,VotesInOffice,Presiding?
"McGuire, Carol (R)",376841,A+,A+,93,93.1216931216931,,1,94,0
"Sandblade, Emily (R)",377164,A,A,90,90.2116402116402,,2,94,0
"McGuire, Dan (R)",376984,A,A,90,89.9470899470899,,1,94,0
"Warden, Mark (R)",377049,A,A,90,89.6825396825397,,16,94,0
"Burt, John (R)",376912,A,A,89,88.8888888888889,,0,94,0
"Itse, Daniel (R)",376357,A,A,88,88.3597883597884,,4,94,0
"Comerford, Timothy (R)",376805,A,A,88,88.0952380952381,,2,94,0
"Tucker, Pamela (R)",376878,A,A,88,87.8306878306878,,0,94,0
"Hoell, J.R. (R)",376949,A,A,87,86.7724867724868,,15,94,0
"Vadney, Herbert (R)",377184,A-,A-,86,85.7142857142857,,3,94,0
"Renzullo, Andrew (R)",376618,A-,A-,85,85.4497354497355,,11,94,0
"Daniels, Gary (R)",375014,A-,A-,85,85.1851851851852,,1,94,0
"Boehm, Ralph (R)",376553,A-,A-,85,84.6560846560847,,0,94,0
"Sylvia, Michael (R)",377177,A-,A-,85,84.6560846560847,,22,94,0
"Villeneuve, Moe (R)",376637,A-,A-,84,84.1269841269841,,0,94,0
"Parison, James (R)",376999,A-,A-,84,83.8624338624339,,6,94,0
"Palmer, Stephen (R)",376846,A-,A-,84,83.5978835978836,,6,94,0
"Jones, Laura (R)",376956,A-,A-,84,83.5978835978836,,16,94,0
"Gordon, Richard (R)",377104,A-,A-,84,83.5978835978836,,0,94,0
"Rideout, Leon (R)",377162,A-,A-,83,83.0687830687831,,0,94,0
"Ulery, Jordan (R)",376635,A-,A-,83,83.0687830687831,,11,94,0
"LeBrun, Donald (R)",376966,A-,A-,83,83.0687830687831,,0,94,0
"Emerick, J. Tracy (R)",377094,A-,A-,83,82.5396825396825,,0,94,0
"Lambert, George (R)",376962,A-,A-,83,82.5396825396825,,24,94,0
"Peterson, Lenette (R)",377003,A-,A-,82,82.010582010582,,4,94,0
"Sanborn, Laurie (R)",377016,A-,A-,81,81.4814814814815,,14,94,0
"Wright, Donald (R)",377194,A-,A-,81,81.4814814814815,,15,94,0
"Baldasaro, Alfred (R)",376740,A-,A-,81,80.9523809523809,,5,94,0
"O'Flaherty, Tim (D)",377156,A-,A-,81,80.9523809523809,,9,94,0
"Pitre, Joseph (R)",377005,A-,A-,80,80.1587301587302,,15,94,0
"Osgood, Joe (R)",376651,A-,A-,80,79.8941798941799,,0,94,0
"Greemore, Robert (R)",376943,A-,A-,80,79.8941798941799,,12,94,0
"Notter, Jeanine (R)",376991,A-,A-,80,79.6296296296296,,17,94,0
"Duarte, Joe (R)",376933,A-,A-,80,79.6296296296296,,9,94,0
"Murphy, Keith (R)",376990,B+,B+,78,78.3068783068783,,23,94,0
"Beaudoin, Steven (R)",377067,B+,B+,78,78.3068783068783,,16,94,0
"Harris, Jeffrey (R)",377114,B+,B+,78,78.3068783068783,,0,94,0
"Cordelli, Glenn (R)",377085,B+,B+,78,77.5132275132275,,12,94,0
"Pratt, Calvin (R)",376852,B+,B+,78,77.5132275132275,,33,94,0
"Comtois, Guy (R)",376920,B+,B+,78,77.5132275132275,,17,94,0
"Holmes, Stephen (R)",377123,B+,B+,77,76.984126984127,,12,94,0
"Vaillancourt, Steve (R)",376171,B+,B+,77,76.984126984127,,1,94,0
"Garcia, Bianca (R)",377101,B+,B+,76,76.4550264550265,,28,94,0
"Tasker, Kyle (R)",377038,B+,B+,76,76.4550264550265,,35,94,0
"Weyler, Kenneth (R)",374470,B+,B+,76,76.1904761904762,,0,94,0
"Bickford, David (R)",376083,B+,B+,75,75.3968253968254,,3,94,0
"Hikel, John (R)",376822,B+,B+,75,75.1322751322751,,11,94,0
"Garcia, Michael (D)",377102,B+,B+,75,74.8677248677249,,44,94,0
"Ober, Lynne (R)",376609,B+,B+,75,74.8677248677249,,30,94,0
"Bick, Patrick (R)",377069,B+,B+,75,74.6031746031746,,15,94,0
"Rappaport, Laurence (R)",376854,B+,B+,74,74.3386243386243,,14,94,0
"Hansen, Peter (R)",376944,B+,B+,74,74.3386243386243,,13,94,0
"Schroadter, Adam (R)",377020,B+,B+,74,74.3386243386243,,32,94,0
"McConkey, Mark (R)",376495,B+,B+,74,74.0740740740741,,10,94,0
"Marston, Dick (R)",377140,B+,B+,74,74.0740740740741,,21,94,0
"Ober, Russell (R)",376506,B+,B+,74,73.8095238095238,,32,94,0
"Hodgdon, Bruce (R)",377122,B+,B+,73,73.2804232804233,,31,94,0
"Hunt, John (R)",372375,B+,B+,73,73.2804232804233,,29,94,0
"Murphy, Kelleigh (R)",377152,B+,B+,73,73.2804232804233,,29,94,0
"Danielson, David (R)",377089,B,B,72,72.4867724867725,,3,94,0
"Murotake, David (R)",377151,B,B,72,72.4867724867725,,21,94,0
"Byron, Frank (R)",377078,B,B,72,72.4867724867725,,0,94,0
"Cormier, Jane (R)",377086,B,B,72,72.2222222222222,,35,92,0
"Winters, Joel (D)",376709,B,B,72,71.9576719576719,,0,94,0
"Luther, Robert (R)",376973,B,B,72,71.9576719576719,,24,94,0
"Burchell, Richard (R)",377074,B,B,72,71.9576719576719,,4,94,0
"Worsman, Colette (R)",377054,B,B,71,71.1640211640212,,27,94,0
"Milz, David (R)",377147,B,B,71,71.1640211640212,,14,94,0
"Cebrowski, John (R)",376801,B,B,71,70.6349206349206,,13,94,0
"Groen, Warren (R)",376818,B,B,71,70.6349206349206,,37,94,0
"Sedensky, John (R)",376863,B,B,70,70.3703703703704,,3,94,0
"Hagan, Joseph (R)",376819,B,B,70,69.8412698412698,,44,94,0
"Chirichiello, Brian (R)",376917,B,B,70,69.5767195767196,,7,94,0
"Straight, Phillip (R)",377173,B,B,70,69.5767195767196,,30,94,0
"Fink, Charles (R)",377097,B,Inc,69,69.3121693121693,Inc,51,94,0
"Coffey, James (R)",376918,B,B,69,69.0476190476191,,7,94,0
"Webb, James (R)",377050,B,B,69,68.7830687830688,,3,94,0
"Sweeney, Joe (R)",377174,B,B,69,68.5185185185185,,29,94,0
"Garcia, Marilinda (R)",376745,B,B,69,68.5185185185185,,32,94,0
