EmployeeNumber,NoPartyName,Name,Grade/Atten,Grade,RoundPercent,RawPercent,IncDer,% Missed,TermServed%,VotesInOffice,Presiding?
377177,"Sylvia, Michael","Sylvia, Michael (R)",A+,A+,100,100,,0,100,50,0
376357,"Itse, Daniel","Itse, Daniel (R)",A+,A+,100,100,,0,100,50,0
377237,"Howard, Jr., Raymond","Howard, Jr., Raymond (R)",A+,A+,100,100,,0,100,50,0
376990,"Murphy, Keith","Murphy, Keith (R)",A+,A+,100,100,,0,100,50,0
376912,"Burt, John","Burt, John (R)",A+,A+,100,100,,0,100,50,0
377240,"Johnson, Eric","Johnson, Eric (R)",A+,A+,100,100,,0,100,50,0
377242,"Kellogg, Shem","Kellogg, Shem (R)",A+,A+,100,100,,0,100,50,0
377241,"Kaczynski, Jr., Thomas","Kaczynski, Jr., Thomas (R)",A+,A+,100,99.5495495495496,,2,100,50,0
377293,"Eastman, Eric","Eastman, Eric (R)",A+,A+,99,98.6486486486486,,2,100,50,0
377201,"Abramson, Max","Abramson, Max (R)",A+,A+,98,98.1981981981982,,0,100,50,0
377224,"Ferreira, Elizabeth","Ferreira, Elizabeth (R)",A+,A+,98,98.1981981981982,,0,100,50,0
377203,"Aldrich, Glen","Aldrich, Glen (R)",A+,A+,97,97.2972972972973,,0,100,50,0
377023,"Seaworth, Brian","Seaworth, Brian (R)",A+,A+,97,97.2972972972973,,0,100,50,0
377287,"McConnell, James","McConnell, James (R)",A+,A+,97,97.2972972972973,,0,100,50,0
377215,"Comeau, Ed","Comeau, Ed (R)",A+,A+,97,96.8468468468468,,2,100,50,0
377208,"Brewster, Michael","Brewster, Michael (R)",A+,A+,96,96.3963963963964,,0,100,50,0
377234,"Hannon, Joseph","Hannon, Joseph (R)",A+,A+,96,96.3963963963964,,0,100,50,0
377252,"Moore, Josh","Moore, Josh (R)",A+,A+,96,96.3963963963964,,2,100,50,0
376740,"Baldasaro, Alfred","Baldasaro, Alfred (R)",A+,A+,96,96.3963963963964,,8,100,50,0
376841,"McGuire, Carol","McGuire, Carol (R)",A+,A+,95,95.4954954954955,,0,100,50,0
377265,"Sullivan, Victoria","Sullivan, Victoria (R)",A+,A+,95,95.4954954954955,,4,100,50,0
376818,"Groen, Warren","Groen, Warren (R)",A+,A+,95,95.045045045045,,4,100,50,0
377283,"Bouldin, Amanda","Bouldin, Amanda (D)",A+,A+,95,95.045045045045,,12,100,50,0
377264,"Spillane, James","Spillane, James (R)",A+,A+,95,94.5945945945946,,12,100,50,0
377204,"Ammon, Keith","Ammon, Keith (R)",A+,A+,94,94.1441441441442,,2,100,50,0
376984,"McGuire, Dan","McGuire, Dan (R)",A+,A+,94,94.1441441441442,,12,100,50,0
376878,"Tucker, Pamela","Tucker, Pamela (R)",A+,A+,94,94.1441441441442,,10,100,50,0
376716,"Hogan, Edith","Hogan, Edith (R)",A+,A+,94,93.6936936936937,,0,100,50,0
377028,"Simmons, Tammy","Simmons, Tammy (R)",A+,A+,93,93.2432432432432,,4,100,50,0
376739,"Kappler, Lawrence","Kappler, Lawrence (R)",A+,A+,93,92.7927927927928,,0,100,50,0
377227,"Fraser, Valerie","Fraser, Valerie (R)",A+,A+,93,92.7927927927928,,0,100,50,0
376794,"Bates, David","Bates, David (R)",A+,A+,93,92.7927927927928,,0,100,50,0
377305,"Lachance, Joseph","Lachance, Joseph (R)",A+,A+,93,92.7927927927928,,0,100,50,0
377067,"Beaudoin, Steven","Beaudoin, Steven (R)",A,A,92,92.3423423423423,,10,100,50,0
377259,"Rice, Kimberly","Rice, Kimberly (R)",A,A,92,92.3423423423423,,2,100,50,0
377232,"Goulette, William","Goulette, William (R)",A,A,92,91.8918918918919,,2,100,50,0
376948,"Hill, Gregory","Hill, Gregory (R)",A,A,91,90.990990990991,,0,100,50,0
377140,"Marston, Dick","Marston, Dick (R)",A,A,91,90.990990990991,,2,100,50,0
377205,"Avellani, Lino","Avellani, Lino (R)",A,A,91,90.990990990991,,10,100,50,0
377243,"Knowles, Robert","Knowles, Robert (R)",A,A,91,90.990990990991,,0,100,50,0
377228,"French, Harold","French, Harold (R)",A,A,91,90.990990990991,,0,100,50,0
377229,"Fromuth, Bart","Fromuth, Bart (R)",A,A,91,90.990990990991,,6,100,50,0
376610,"O'Brien, William","O'Brien, William (R)",A,A,91,90.990990990991,,18,100,50,0
377239,"Hull, Robert","Hull, Robert (R)",A,A,91,90.5405405405405,,14,100,50,0
377268,"True, Chris","True, Chris (R)",A,A,90,90.0900900900901,,0,100,50,0
377278,"Zaricki, Nick","Zaricki, Nick (R)",A,A,90,90.0900900900901,,8,100,50,0
376480,"Ingbretson, Paul","Ingbretson, Paul (R)",A,A,90,90.0900900900901,,6,100,50,0
377184,"Vadney, Herbert","Vadney, Herbert (R)",A,A,89,89.1891891891892,,0,100,50,0
377269,"Turcotte, Leonard","Turcotte, Leonard (R)",A,A,89,89.1891891891892,,2,100,50,0
376991,"Notter, Jeanine","Notter, Jeanine (R)",A,A,89,88.7387387387387,,10,100,50,0
376949,"Hoell, JR","Hoell, JR (R)",A,A,88,88.2882882882883,,20,100,50,0
377038,"Tasker, Kyle","Tasker, Kyle (R)",A,A,88,88.2882882882883,,16,100,50,0
377301,"Halstead, Carolyn","Halstead, Carolyn (R)",A,A,88,88.2882882882883,,12,100,50,0
376245,"Marple, Richard","Marple, Richard (R)",A,A,88,87.8378378378378,,6,100,50,0
377222,"Edelblut, Frank","Edelblut, Frank (R)",A,A,87,87.3873873873874,,20,100,50,0
377085,"Cordelli, Glenn","Cordelli, Glenn (R)",A,A,87,87.3873873873874,,0,100,50,0
376933,"Duarte, Joe","Duarte, Joe (R)",A,A,87,87.3873873873874,,0,100,50,0
377273,"Whitehouse, Joshua","Whitehouse, Joshua (R)",A,A,87,87.3873873873874,,22,100,50,0
377162,"Rideout, Leon","Rideout, Leon (R)",A,A,87,87.3873873873874,,0,100,50,0
377114,"Harris, Jeffrey","Harris, Jeffrey (R)",A,A,87,87.3873873873874,,0,100,50,0
377122,"Hodgdon, Bruce","Hodgdon, Bruce (R)",A-,A-,86,86.4864864864865,,0,100,50,0
377214,"Christie, Rick","Christie, Rick (R)",A-,A-,86,85.5855855855856,,6,100,50,0
377213,"Cheney, Catherine","Cheney, Catherine (R)",A-,A-,86,85.5855855855856,,10,100,50,0
377244,"Kuch, Bill","Kuch, Bill (R)",A-,A-,86,85.5855855855856,,0,100,50,0
377251,"McLean, Mark","McLean, Mark (R)",A-,A-,86,85.5855855855856,,0,100,50,0
377267,"Thomas, Douglas","Thomas, Douglas (R)",A-,A-,86,85.5855855855856,,2,100,50,0
377194,"Wright, Ted","Wright, Ted (R)",A-,A-,85,85.1351351351351,,10,100,50,0
377020,"Schroadter, Adam","Schroadter, Adam (R)",A-,A-,85,84.6846846846847,,12,100,50,0
377223,"Estevez, Eric","Estevez, Eric (R)",A-,A-,85,84.6846846846847,,4,100,50,0
377151,"Murotake, David","Murotake, David (R)",A-,A-,85,84.6846846846847,,18,100,50,0
377272,"Vose, Michael","Vose, Michael (R)",A-,A-,84,84.2342342342342,,2,100,50,0
377261,"Schleien, Eric","Schleien, Eric (R)",A-,A-,84,84.2342342342342,,36,100,50,0
377094,"Emerick, J. Tracy","Emerick, J. Tracy (R)",A-,A-,84,84.2342342342342,,4,100,50,0
376999,"Parison, James","Parison, James (R)",A-,A-,84,83.7837837837838,,16,100,50,0
376994,"Ohm, Bill","Ohm, Bill (R)",A-,A-,84,83.7837837837838,,4,100,50,0
377011,"Rice, Frederick","Rice, Frederick (R)",A-,A-,83,82.8828828828829,,0,100,50,0
377253,"Osborne, Jason","Osborne, Jason (R)",A-,A-,82,82.4324324324324,,28,100,50,0
376553,"Boehm, Ralph","Boehm, Ralph (R)",A-,A-,82,81.981981981982,,0,100,50,0
376956,"Jones, Laura","Jones, Laura (R)",A-,A-,82,81.981981981982,,4,100,50,0
376981,"McClarren, Donald","McClarren, Donald (R)",A-,A-,82,81.981981981982,,12,100,50,0
377258,"Prudhomme-O'Brien, Katherine","Prudhomme-O'Brien, Katherine (R)",A-,A-,82,81.981981981982,,0,100,50,0
377299,"Gould, Linda","Gould, Linda (R)",A-,A-,81,81.0810810810811,,0,100,50,0
377294,"Edwards, Elizabeth","Edwards, Elizabeth (D)",A-,A-,81,80.6306306306306,,10,100,50,0
377248,"Martin, John","Martin, John (R)",A-,A-,80,80.1801801801802,,4,100,50,0
376506,"Ober, Russell","Ober, Russell (R)",A-,A-,80,80.1801801801802,,12,100,50,0
376353,"Hopper, Gary","Hopper, Gary (R)",A-,A-,80,80.1801801801802,,18,100,50,0
377037,"Tamburello, Daniel","Tamburello, Daniel (R)",B+,B+,79,79.2792792792793,,44,100,50,0
377225,"Fisher, Robert","Fisher, Robert (R)",B+,B+,78,77.9279279279279,,44,100,50,0
377045,"Twombly, Timothy","Twombly, Timothy (R)",B+,B+,78,77.9279279279279,,14,100,50,0
376918,"Coffey, James","Coffey, James (R)",B+,B+,78,77.9279279279279,,38,100,50,0
377005,"Pitre, Joseph","Pitre, Joseph (R)",B+,B+,78,77.9279279279279,,24,100,50,0
377277,"Wuelper, Kurt","Wuelper, Kurt (R)",B+,B+,77,77.4774774774775,,6,100,50,0
377149,"Mullen, John","Mullen, John (R)",B+,B+,77,77.027027027027,,2,100,50,0
376528,"Stepanek, Stephen","Stepanek, Stephen (R)",B+,B+,77,76.5765765765766,,44,100,50,0
377104,"Gordon, Richard","Gordon, Richard (R)",B+,B+,77,76.5765765765766,,2,100,50,0
377163,"Rollins, Skip","Rollins, Skip (R)",B+,B+,76,75.6756756756757,,6,100,50,0
377276,"Wood, David","Wood, David (R)",B+,B+,76,75.6756756756757,,20,100,50,0
377209,"Bridge, Ernest","Bridge, Ernest (R)",B+,B+,74,73.8738738738739,,10,100,50,0
376464,"Gionet, Edmond","Gionet, Edmond (R)",B+,B+,74,73.8738738738739,,0,100,50,0
377306,"LeBreche, Shari","LeBreche, Shari (R)",B+,B+,74,73.8738738738739,,18,100,50,0
377231,"Gannon, William","Gannon, William (R)",B+,B+,73,73.4234234234234,,2,100,50,0
376829,"Kolodziej, Walter","Kolodziej, Walter (R)",B+,B+,73,72.972972972973,,20,100,50,0
376864,"Seidel, Carl","Seidel, Carl (R)",B+,B+,73,72.972972972973,,0,100,50,0
377216,"Cook, Allen","Cook, Allen (R)",B+,B+,73,72.972972972973,,10,100,50,0
376980,"McCarthy, Frank","McCarthy, Frank (R)",B+,B+,73,72.5225225225225,,14,100,50,0
376920,"Comtois, Guy","Comtois, Guy (R)",Inc,B+,73,72.5225225225225,Inc,60,100,50,0
377016,"Sanborn, Laurie","Sanborn, Laurie (R)",B+,B+,73,72.5225225225225,,26,100,50,0
377221,"Dumais, Russell","Dumais, Russell (R)",B+,B+,73,72.5225225225225,,14,100,50,0
377254,"Parent, Jason","Parent, Jason (R)",Inc,B+,73,72.5225225225225,Inc,52,100,50,0
377247,"Long, Douglas","Long, Douglas (R)",B+,B+,73,72.5225225225225,,30,100,50,0
377210,"Brown, Duane","Brown, Duane (R)",B,B,72,72.0720720720721,,16,100,50,0
376395,"Souza, Kathleen","Souza, Kathleen (R)",B,B,72,72.0720720720721,,24,100,50,0
376944,"Hansen, Peter","Hansen, Peter (R)",B,B,72,72.0720720720721,,2,100,50,0
377211,"Bush, Carol","Bush, Carol (R)",B,B,71,71.1711711711712,,48,100,50,0
377257,"Potucek, John","Potucek, John (R)",B,B,71,71.1711711711712,,0,100,50,0
376965,"Laware, Thomas","Laware, Thomas (R)",B,B,71,71.1711711711712,,0,100,50,0
376083,"Bickford, David","Bickford, David (R)",B,B,71,71.1711711711712,,0,100,50,0
376854,"Rappaport, Laurence","Rappaport, Laurence (R)",B,B,71,70.7207207207207,,6,100,50,0
374470,"Weyler, Kenneth","Weyler, Kenneth (R)",B,B,71,70.7207207207207,,14,100,50,0
377065,"Bailey, Brad","Bailey, Brad (R)",B,B,70,70.2702702702703,,22,100,50,0
376973,"Luther, Robert","Luther, Robert (R)",B,B,70,70.2702702702703,,0,100,50,0
376932,"Donovan, Daniel","Donovan, Daniel (R)",B,B,70,70.2702702702703,,8,100,50,0
376917,"Chirichiello, Brian","Chirichiello, Brian (R)",B,B,70,70.2702702702703,,0,100,50,0
377078,"Byron, Frank","Byron, Frank (R)",B,B,70,70.2702702702703,,2,100,50,0
377235,"Hennessey, Erin","Hennessey, Erin (R)",B,B,70,69.8198198198198,,2,100,50,0
377263,"Spanos, Peter","Spanos, Peter (R)",B,B,70,69.8198198198198,,2,100,50,0
376996,"Oligny, Jeffrey","Oligny, Jeffrey (R)",Inc,B,69,69.3693693693694,Inc,58,100,50,0
377202,"Adams, Christopher","Adams, Christopher (R)",B,B,69,68.9189189189189,,38,100,50,0
377230,"Gallagher, Brian","Gallagher, Brian (R)",B,B,69,68.9189189189189,,4,100,50,0
377262,"Smith, Gregory","Smith, Gregory (R)",B,B,68,68.4684684684685,,10,100,50,0
377236,"Horn, Werner","Horn, Werner (R)",B,B,68,68.4684684684685,,0,100,50,0
377217,"Darrow, Stephen","Darrow, Stephen (R)",B,B,68,68.4684684684685,,0,100,50,0
