Name,EmployeeNumber,Grade,Grade/Atten,RoundPercent,RawPercent,IncDer,% Missed,VotesInOffice
"Sanborn, Andy (R)",209083,A+,A+,96,95.6521739130435,,0,22
"Avard, Kevin (R)",209099,A,A,89,89.1304347826087,,0,22
"Daniels, Gary (R)",209098,A,A,89,89.1304347826087,,0,22
"Birdsell, Regina (R)",209101,A,A,87,86.9565217391304,,0,22
"Morse, Chuck (R)",209057,A-,A-,85,84.7826086956522,,0,22
"Reagan, John (R)",209095,A-,A-,85,84.7826086956522,,0,22
"Prescott, Russell (R)",209047,A-,A-,83,82.6086956521739,,0,22
"Bradley, Jeb (R)",209078,A-,A-,80,80.4347826086957,,0,22
"Forrester, Jeanie (R)",209080,A-,A-,80,80.4347826086957,,0,22
"Carson, Sharon (R)",209076,B+,B+,76,76.0869565217391,,0,22
"Cataldo, Sam (R)",209093,B,B,72,71.7391304347826,,5,22
"Boutin, David (R)",209079,B,B,68,68.4782608695652,,5,22
"Stiles, Nancy (R)",209088,B,B,67,67.3913043478261,,0,22
"Little, Gerald (R)",209097,B-,B-,63,63.0434782608696,,0,22
"Pierce, David (D)",209092,D,D,28,28.2608695652174,,0,22
"Woodburn, Jeff (D)",209090,D,D,28,28.2608695652174,,0,22
"D'Allesandro, Lou (D)",209015,D-,D-,23,22.8260869565217,,9,22
"Watters, David (D)",209091,D-,D-,22,21.7391304347826,,5,22
"Hosmer, Andrew (D)",209094,D-,D-,22,21.7391304347826,,5,22
"Soucy, Donna (D)",209096,D-,D-,22,21.7391304347826,,0,22
"Feltes, Dan (D)",209100,D-,D-,22,21.7391304347826,,0,22
"Lasky, Bette (D)",209075,D-,D-,20,19.5652173913043,,0,22
"Fuller Clark, Martha (D)",209061,F,F,17,17.3913043478261,,0,22
"Kelly, Molly (D)",209070,CT,CT,13,13.0434782608696,,0,22
