FullName,LastFirst,EmployeeNo,PercentMissed,VotingPercent,VotingGrade,SponsorPercent,CombinedPercent,CombinedGrade,Link
Rep. J.R. Hoell (R),"Hoell, J.R.",376949,0,98.4,A+,14.2,112.6,A+,http://gcm.io/Legislator/376949
Rep. Daniel Itse (R),"Itse, Daniel",376357,6.1,93.3,A,16.7,110,A+,http://gcm.io/Legislator/376357
Rep. John Burt (R),"Burt, John",376912,0,100,A+,4.3,104.3,A+,http://gcm.io/Legislator/376912
Rep. Keith Ammon (R),"Ammon, Keith",377204,4.1,97.3,A+,6.2,103.5,A+,http://gcm.io/Legislator/377204
Rep. Glen Aldrich (R),"Aldrich, Glen",377203,0,99.5,A+,3.2,102.7,A+,http://gcm.io/Legislator/377203
Rep. Joseph Hannon (R),"Hannon, Joseph",377234,1,97.8,A+,4.3,102.1,A+,http://gcm.io/Legislator/377234
Rep. Robert Hull (R),"Hull, Robert",377239,4.1,94.4,A,7.3,101.7,A+,http://gcm.io/Legislator/377239
Rep. Keith Murphy (R),"Murphy, Keith",376990,1,99.7,A+,1.3,101,A+,http://gcm.io/Legislator/376990
Rep. Michael Sylvia (R),"Sylvia, Michael",377177,18.4,91.1,A-,9.1,100.2,A+,http://gcm.io/Legislator/377177
Rep. Dan McGuire (R),"McGuire, Dan",376984,6.1,96.2,A,3.5,99.7,A+,http://gcm.io/Legislator/376984
Rep. James McConnell (R),"McConnell, James",377287,0,94.1,A,4.3,98.4,A+,http://gcm.io/Legislator/377287
Rep. Brian Seaworth (R),"Seaworth, Brian",377023,4.1,97.3,A+,1.1,98.4,A+,http://gcm.io/Legislator/377023
Rep. Lino Avellani (R),"Avellani, Lino",377205,0,97.3,A+,0.8,98.1,A+,http://gcm.io/Legislator/377205
Rep. Laura Jones (R),"Jones, Laura",376956,4.1,95.4,A,2.7,98.1,A+,http://gcm.io/Legislator/376956
Rep. Ed Comeau (R),"Comeau, Ed",377215,1,95.7,A,2.2,97.9,A+,http://gcm.io/Legislator/377215
Rep. Jason Osborne (R),"Osborne, Jason",377253,8.2,94.4,A,2.7,97.1,A+,http://gcm.io/Legislator/377253
Rep. Frank Edelblut (R),"Edelblut, Frank",377222,2,89.5,A-,7.3,96.8,A,http://gcm.io/Legislator/377222
Rep. Elizabeth Ferreira (R),"Ferreira, Elizabeth",377224,0,95.7,A,1.1,96.8,A,http://gcm.io/Legislator/377224
Rep. Thomas Kaczynski (R),"Kaczynski, Thomas",377241,0,96.2,A,0,96.2,A,http://gcm.io/Legislator/377241
Rep. Eric Eastman (R),"Eastman, Eric",377293,8.2,92.7,A,2.7,95.4,A,http://gcm.io/Legislator/377293
Rep. Tammy Simmons (R),"Simmons, Tammy",377028,11.2,93.5,A,1.3,94.8,A,http://gcm.io/Legislator/377028
Rep. Victoria Sullivan (R),"Sullivan, Victoria",377265,10.2,91.1,A-,3.5,94.6,A,http://gcm.io/Legislator/377265
Rep. Warren Groen (R),"Groen, Warren",376818,2,93,A,0.8,93.8,A,http://gcm.io/Legislator/376818
Rep. Mark McLean (R),"McLean, Mark",377251,2,93,A,0.3,93.3,A,http://gcm.io/Legislator/377251
Rep. Josh Moore (R),"Moore, Josh",377252,7.1,91.7,A-,1.1,92.8,A,http://gcm.io/Legislator/377252
Rep. Jeanine Notter (R),"Notter, Jeanine",376991,4.1,89.5,A-,3.2,92.7,A,http://gcm.io/Legislator/376991
Rep. Ralph Boehm (R),"Boehm, Ralph",376553,0,87.1,A-,5.4,92.5,A,http://gcm.io/Legislator/376553
Rep. Chris True (R),"True, Chris",377268,11.2,90.6,A-,1.9,92.5,A,http://gcm.io/Legislator/377268
Rep. Christopher Adams (R),"Adams, Christopher",377202,8.2,91.9,A-,0.5,92.4,A,http://gcm.io/Legislator/377202
Rep. Paul Ingbretson (R),"Ingbretson, Paul",376480,20.4,87.4,A-,4.8,92.2,A,http://gcm.io/Legislator/376480
Rep. Leonard Turcotte (R),"Turcotte, Leonard",377269,0,90.9,A-,0.8,91.7,A-,http://gcm.io/Legislator/377269
Rep. Carol McGuire (R),"McGuire, Carol",376841,7.1,93,A,-1.6,91.4,A-,http://gcm.io/Legislator/376841
Rep. Max Abramson (R),"Abramson, Max",377201,15.3,88.4,A-,2.7,91.1,A-,http://gcm.io/Legislator/377201
Rep. Gregory Hill (R),"Hill, Gregory",376948,5.1,88.7,A-,2.4,91.1,A-,http://gcm.io/Legislator/376948
Rep. Lawrence Kappler (R),"Kappler, Lawrence",376739,0,90.9,A-,0,90.9,A-,http://gcm.io/Legislator/376739
Rep. David Murotake (R),"Murotake, David",377151,11.2,89.5,A-,1.3,90.8,A-,http://gcm.io/Legislator/377151
Rep. Kimberly Rice (R),"Rice, Kimberly",377259,5.1,88.4,A-,2.4,90.8,A-,http://gcm.io/Legislator/377259
Rep. James Spillane (R),"Spillane, James",377264,20.4,86,B+,4.8,90.8,A-,http://gcm.io/Legislator/377264
Rep. Rick Christie (R),"Christie, Rick",377214,5.1,90.3,A-,0.3,90.6,A-,http://gcm.io/Legislator/377214
Rep. Leon Rideout (R),"Rideout, Leon",377162,0,88.2,A-,2.4,90.6,A-,http://gcm.io/Legislator/377162
Rep. Alfred Baldasaro (R),"Baldasaro, Alfred",376740,18.4,88.7,A-,1.6,90.3,A-,http://gcm.io/Legislator/376740
Rep. Eric Schleien (R),"Schleien, Eric",377261,35.7,83.9,B+,6.2,90.1,A-,http://gcm.io/Legislator/377261
Rep. Eric Estevez (R),"Estevez, Eric",377223,6.1,90.1,A-,-0.3,89.8,A-,http://gcm.io/Legislator/377223
Rep. Kurt Wuelper (R),"Wuelper, Kurt",377277,0,89.8,A-,0,89.8,A-,http://gcm.io/Legislator/377277
Rep. Bill Kuch (R),"Kuch, Bill",377244,0,89.2,A-,0,89.2,A-,http://gcm.io/Legislator/377244
Rep. Laurie Sanborn (R),"Sanborn, Laurie",377016,10.2,85.5,B+,2.7,88.2,A-,http://gcm.io/Legislator/377016
Rep. Joseph Pitre (R),"Pitre, Joseph",377005,10.2,87.4,A-,0.5,87.9,A-,http://gcm.io/Legislator/377005
Rep. Michael Vose (R),"Vose, Michael",377272,12.2,87.1,A-,0.8,87.9,A-,http://gcm.io/Legislator/377272
Rep. Richard Marple (R),"Marple, Richard",376245,2,86.6,B+,1.1,87.7,A-,http://gcm.io/Legislator/376245
Rep. Adam Schroadter (R),"Schroadter, Adam",377020,17.3,84.1,B+,3.5,87.6,A-,http://gcm.io/Legislator/377020
Rep. Jordan Ulery (R),"Ulery, Jordan",376635,0,87.1,A-,0.3,87.4,A-,http://gcm.io/Legislator/376635
Rep. Eric Johnson (R),"Johnson, Eric",377240,11.2,86.6,B+,0,86.6,B+,http://gcm.io/Legislator/377240
