FullName,LastFirst,EmployeeNo,PercentMissed,VotingPercent,VotingGrade,SponsorPercent,CombinedPercent,CombinedGrade,Link
Sen. Kevin Avard (R),"Avard, Kevin",209099,10.8,87.1,A-,12.4,99.5,A+,http://gcm.io/Legislator/209099
Sen. Andy Sanborn (R),"Sanborn, Andy",209083,0,88.2,A-,5.6,93.8,A,http://gcm.io/Legislator/209083
Sen. Gary Daniels (R),"Daniels, Gary",209098,0,89.2,A-,3.2,92.4,A,http://gcm.io/Legislator/209098
Sen. Russell Prescott (R),"Prescott, Russell",209047,5.4,80.6,B+,0.5,81.1,B+,http://gcm.io/Legislator/209047
Sen. John Reagan (R),"Reagan, John",209095,0,77.4,B,0.5,77.9,B,http://gcm.io/Legislator/209095
Sen. Regina Birdsell (R),"Birdsell, Regina",209101,0,74.2,B,0,74.2,B,http://gcm.io/Legislator/209101
Sen. Jeanie Forrester (R),"Forrester, Jeanie",209080,0,72,B-,-3,69,B-,http://gcm.io/Legislator/209080
Sen. Sam Cataldo (R),"Cataldo, Sam",209093,0,64.5,C+,1.3,65.8,C+,http://gcm.io/Legislator/209093
Sen. Sharon Carson (R),"Carson, Sharon",209076,0,72,B-,-6.7,65.3,C+,http://gcm.io/Legislator/209076
Sen. Chuck Morse (R),"Morse, Chuck",209057,0,59.1,C,0.5,59.6,C,http://gcm.io/Legislator/209057
Sen. Jeb Bradley (R),"Bradley, Jeb",209078,0,67.7,B-,-9.7,58,C,http://gcm.io/Legislator/209078
Sen. Gerald Little (R),"Little, Gerald",209097,2.7,58,C,-0.3,57.7,C,http://gcm.io/Legislator/209097
Sen. David Boutin (R),"Boutin, David",209079,2.7,57,C,-5.4,51.6,C,http://gcm.io/Legislator/209079
Sen. Nancy Stiles (R),"Stiles, Nancy",209088,0,50.5,C,-8.6,41.9,C-,http://gcm.io/Legislator/209088
Sen. Andrew Hosmer (D),"Hosmer, Andrew",209094,5.4,17.2,F,-0.8,16.4,F,http://gcm.io/Legislator/209094
Sen. David Pierce (D),"Pierce, David",209092,5.4,20.4,D-,-9.7,10.7,CT,http://gcm.io/Legislator/209092
Sen. Dan Feltes (D),"Feltes, Dan",209100,2.7,17.7,F,-10.8,6.9,CT,http://gcm.io/Legislator/209100
Sen. Molly Kelly (D),"Kelly, Molly",209070,0,14,CT,-7.5,6.5,CT,http://gcm.io/Legislator/209070
Sen. David Watters (D),"Watters, David",209091,0,17.2,F,-10.8,6.4,CT,http://gcm.io/Legislator/209091
Sen. Bette Lasky (D),"Lasky, Bette",209075,2.7,11.8,CT,-6.2,5.6,CT,http://gcm.io/Legislator/209075
Sen. Jeff Woodburn (D),"Woodburn, Jeff",209090,0,14,CT,-11.3,2.7,CT,http://gcm.io/Legislator/209090
Sen. Lou D'Allesandro (D),"D'Allesandro, Lou",209015,0,8.6,CT,-8.3,0.299999999999999,CT,http://gcm.io/Legislator/209015
Sen. Martha Fuller Clark (D),"Fuller Clark, Martha",209061,0,14,CT,-18.3,-4.3,CT,http://gcm.io/Legislator/209061
Sen. Donna Soucy (D),"Soucy, Donna",209096,0,8.6,CT,-12.9,-4.3,CT,http://gcm.io/Legislator/209096
