FullName,LastFirst,FirstName,LastName,Party,County,District,FormattedDistrict,EmployeeNo,InOfficeCount,PossibleVoteCount,CorrectVoteCount,IncorrectVoteCount,AbsenceCount,PresidingCount,MaxLegislatorScore,RawScore,PercentMissed,VotingPercent,VotingGrade,SponsorRawScore,Sponsor % Boost,CombinedPercent,CombinedGrade,** Reformatted for document->,Name,Voting %,Sponsor,Grade
Rep. Michael Sylvia (R),"Sylvia, Michael",Michael,Sylvia,R,Belknap,6,Belknap-6,377177,85,85,81,0,4,0,256,250.5,4.7,97.9,A+,11.8333335667848,4.6,102.5,A+,,"Sylvia, Michael",97.9,11.8,A+
Rep. Andrew Prout (R),"Prout, Andrew",Andrew,Prout,R,Hillsborough,37,Hillsborough-37,408359,85,85,85,0,0,0,256,256,0,100,A+,3.00000008940696,1.2,101.2,A+,,"Prout, Andrew",100,3.0,A+
Rep. Glen Dickey (R),"Dickey, Glen",Glen,Dickey,R,Hillsborough,5,Hillsborough-5,408313,85,85,84,0,1,0,256,255.5,1.2,99.8,A+,3.3333334326744,1.3,101.1,A+,,"Dickey, Glen",99.8,3.3,A+
Rep. John Burt (R),"Burt, John",John,Burt,R,Hillsborough,39,Hillsborough-39,376912,85,85,85,0,0,0,256,256,0,100,A+,2.33333353698253,0.9,100.9,A+,,"Burt, John",100,2.3,A+
Rep. Elizabeth Ferreira (R),"Ferreira, Elizabeth",Elizabeth,Ferreira,R,Hillsborough,28,Hillsborough-28,377224,85,85,82,3,0,0,256,249,0,97.3,A+,2.33333334326744,0.9,98.2,A+,,"Ferreira, Elizabeth",97.3,2.3,A+
Rep. Daniel Itse (R),"Itse, Daniel",Daniel,Itse,R,Rockingham,10,Rockingham-10,376357,85,85,77,1,7,0,256,241.5,8.2,94.3,A,9.16666693985462,3.6,97.9,A+,,"Itse, Daniel",94.3,9.2,A+
Rep. Glen Aldrich (R),"Aldrich, Glen",Glen,Aldrich,R,Belknap,2,Belknap-2,377203,85,85,80,5,0,0,256,243,0,94.9,A,6.66666650772094,2.6,97.5,A+,,"Aldrich, Glen",94.9,6.7,A+
Rep. Brian Seaworth (R),"Seaworth, Brian",Brian,Seaworth,R,Merrimack,20,Merrimack-20,377023,85,85,82,2,1,0,256,247,1.2,96.5,A,1.6666667163372,0.7,97.2,A+,,"Seaworth, Brian",96.5,1.7,A+
Rep. John O'Day (R),"O'Day, John",John,O'Day,R,Cheshire,11,Cheshire-11,408284,85,85,80,5,0,0,256,248,0,96.9,A,-1.5,-0.6,96.3,A,,"O'Day, John",96.9,-1.5,A
Rep. Lino Avellani (R),"Avellani, Lino",Lino,Avellani,R,Carroll,5,Carroll-5,377205,85,85,81,3,1,0,256,246,1.2,96.1,A,0,0.0,96.1,A,,"Avellani, Lino",96.1,0.0,A
Rep. Barbara Comtois (R),"Comtois, Barbara",Barbara,Comtois,R,Belknap,7,Belknap-7,408274,85,85,79,2,4,0,256,246,4.7,96.1,A,0,0.0,96.1,A,,"Comtois, Barbara",96.1,0.0,A
Rep. Chris True (R),"True, Chris",Chris,True,R,Rockingham,4,Rockingham-4,377268,85,85,78,7,0,0,256,237,0,92.6,A,8.33333346247673,3.3,95.9,A,,"True, Chris",92.6,8.3,A
Rep. Carol McGuire (R),"McGuire, Carol",Carol,McGuire,R,Merrimack,29,Merrimack-29,376841,85,85,75,4,6,0,256,239,7.1,93.4,A,6.1666667163372,2.4,95.8,A,,"McGuire, Carol",93.4,6.2,A
Rep. Keith Ammon (R),"Ammon, Keith",Keith,Ammon,R,Hillsborough,40,Hillsborough-40,377204,85,85,73,0,12,0,256,239,14.1,93.4,A,5.66666674613952,2.2,95.6,A,,"Ammon, Keith",93.4,5.7,A
Rep. Brandon Phinney (L),"Phinney, Brandon",Brandon,Phinney,L,Strafford,24,Strafford-24,408447,85,85,71,2,12,0,256,235.5,14.1,92,A,8.6666667163372,3.4,95.4,A,,"Phinney, Brandon",92,8.7,A
Rep. John Lewicke (R),"Lewicke, John",John,Lewicke,R,Hillsborough,26,Hillsborough-26,408346,85,85,80,5,0,0,256,244,0,95.3,A,0,0.0,95.3,A,,"Lewicke, John",95.3,0.0,A
Rep. Ed Comeau (R),"Comeau, Ed",Ed,Comeau,R,Carroll,5,Carroll-5,377215,85,85,77,5,3,0,256,241,3.5,94.1,A,1.50000004470348,0.6,94.7,A,,"Comeau, Ed",94.1,1.5,A
Rep. Michael Harrington (R),"Harrington, Michael",Michael,Harrington,R,Strafford,3,Strafford-3,376347,85,85,74,0,11,0,256,239.5,12.9,93.6,A,2.66666668653488,1.0,94.6,A,,"Harrington, Michael",93.6,2.7,A
Rep. Richard Marple (R),"Marple, Richard",Richard,Marple,R,Merrimack,24,Merrimack-24,376245,85,85,74,4,7,0,256,235.5,8.2,92,A,5.33333349227905,2.1,94.1,A,,"Marple, Richard",92,5.3,A
Rep. J.R. Hoell (R),"Hoell, J.R.",J.R.,Hoell,R,Merrimack,23,Merrimack-23,376949,85,85,67,1,17,0,256,229.5,20,89.6,A-,11.3333336561918,4.4,94,A,,"Hoell, J.R.",89.6,11.3,A
Rep. Rick Christie (R),"Christie, Rick",Rick,Christie,R,Hillsborough,6,Hillsborough-6,377214,85,85,79,6,0,0,256,240,0,93.8,A,0,0.0,93.8,A,,"Christie, Rick",93.8,0.0,A
Rep. Dan Hynes (R),"Hynes, Dan",Dan,Hynes,R,Hillsborough,21,Hillsborough-21,408333,85,85,64,0,21,0,256,230,24.7,89.8,A-,8.83333353698253,3.5,93.3,A,,"Hynes, Dan",89.8,8.8,A
Rep. Scott Wallace (R),"Wallace, Scott",Scott,Wallace,R,Rockingham,33,Rockingham-33,408431,85,85,76,2,7,0,256,240.5,8.2,93.9,A,-3.50000001490116,-1.4,92.5,A,,"Wallace, Scott",93.9,-3.5,A
Rep. Gerald Griffin (R),"Griffin, Gerald",Gerald,Griffin,R,Hillsborough,5,Hillsborough-5,408314,85,85,78,7,0,0,256,235,0,91.8,A-,0,0.0,91.8,A-,,"Griffin, Gerald",91.8,0.0,A-
Rep. Peter Torosian (R),"Torosian, Peter",Peter,Torosian,R,Rockingham,14,Rockingham-14,408418,85,85,79,6,0,0,256,235,0,91.8,A-,0,0.0,91.8,A-,,"Torosian, Peter",91.8,0.0,A-
Rep. Howard Pearl (R),"Pearl, Howard",Howard,Pearl,R,Merrimack,26,Merrimack-26,408383,85,85,75,8,2,0,256,234,2.4,91.4,A-,0,0.0,91.4,A-,,"Pearl, Howard",91.4,0.0,A-
Rep. Jess Edwards (R),"Edwards, Jess",Jess,Edwards,R,Rockingham,4,Rockingham-4,408392,85,85,75,10,0,0,256,233,0,91,A-,0.666666686534881,0.3,91.3,A-,,"Edwards, Jess",91,0.7,A-
Rep. Jeanine Notter (R),"Notter, Jeanine",Jeanine,Notter,R,Hillsborough,21,Hillsborough-21,376991,85,85,76,7,2,0,256,231,2.4,90.2,A-,1.50000004470348,0.6,90.8,A-,,"Notter, Jeanine",90.2,1.5,A-
Rep. Mark McLean (R),"McLean, Mark",Mark,McLean,R,Hillsborough,44,Hillsborough-44,377251,85,85,75,6,4,0,256,231.5,4.7,90.4,A-,0.83333334326744,0.3,90.7,A-,,"McLean, Mark",90.4,0.8,A-
Rep. Raymond Howard (R),"Howard, Raymond",Raymond,Howard,R,Belknap,8,Belknap-8,377237,85,85,70,3,12,0,256,233.5,14.1,91.2,A-,-2.5,-1.0,90.2,A-,,"Howard, Raymond",91.2,-2.5,A-
Rep. Michael Costable (R),"Costable, Michael",Michael,Costable,R,Rockingham,3,Rockingham-3,408389,85,85,68,1,16,0,256,228.5,18.8,89.3,A-,1.66666662693023,0.7,90,A-,,"Costable, Michael",89.3,1.7,A-
Rep. Tiffany Johnson (R),"Johnson, Tiffany",Tiffany,Johnson,R,Grafton,7,Grafton-7,408293,85,85,74,5,6,0,256,230,7.1,89.8,A-,0,0.0,89.8,A-,,"Johnson, Tiffany",89.8,0.0,A-
Rep. Kevin Scully (R),"Scully, Kevin",Kevin,Scully,R,Hillsborough,33,Hillsborough-33,408351,85,85,70,9,6,0,256,222,7.1,86.7,B+,8,3.1,89.8,A-,,"Scully, Kevin",86.7,8.0,A-
Rep. Jordan Ulery (R),"Ulery, Jordan",Jordan,Ulery,R,Hillsborough,37,Hillsborough-37,376635,85,85,76,9,0,0,256,228,0,89.1,A-,1.33333337306976,0.5,89.6,A-,,"Ulery, Jordan",89.1,1.3,A-
Rep. Russell Ober (R),"Ober, Russell",Russell,Ober,R,Hillsborough,37,Hillsborough-37,376506,85,85,73,6,6,0,256,227,7.1,88.7,A-,1.33333337306976,0.5,89.2,A-,,"Ober, Russell",88.7,1.3,A-
Rep. Norman Silber (R),"Silber, Norman",Norman,Silber,R,Belknap,2,Belknap-2,408258,85,85,68,2,15,0,256,227.5,17.6,88.9,A-,0,0.0,88.9,A-,,"Silber, Norman",88.9,0.0,A-
Rep. Laurie Sanborn (R),"Sanborn, Laurie",Laurie,Sanborn,R,Hillsborough,41,Hillsborough-41,377016,85,85,75,8,2,0,256,227,2.4,88.7,A-,0,0.0,88.7,A-,,"Sanborn, Laurie",88.7,0.0,A-
Rep. Victoria Sullivan (R),"Sullivan, Victoria",Victoria,Sullivan,R,Hillsborough,16,Hillsborough-16,377265,85,85,74,9,2,0,256,225.5,2.4,88.1,A-,1.00000002980232,0.4,88.5,A-,,"Sullivan, Victoria",88.1,1.0,A-
Rep. Kurt Wuelper (R),"Wuelper, Kurt",Kurt,Wuelper,R,Strafford,3,Strafford-3,377277,85,85,72,13,0,0,256,221,0,86.3,B+,5.33333349227905,2.1,88.4,A-,,"Wuelper, Kurt",86.3,5.3,A-
Rep. Keith Murphy (R),"Murphy, Keith",Keith,Murphy,R,Hillsborough,7,Hillsborough-7,376990,85,85,65,0,20,0,256,226,23.5,88.3,A-,0,0.0,88.3,A-,,"Murphy, Keith",88.3,0.0,A-
Rep. David Bates (R),"Bates, David",David,Bates,R,Rockingham,7,Rockingham-7,376794,85,85,69,8,8,0,256,223,9.4,87.1,A-,2,0.8,87.9,A-,,"Bates, David",87.1,2.0,A-
Rep. Herbert Vadney (R),"Vadney, Herbert",Herbert,Vadney,R,Belknap,2,Belknap-2,377184,85,85,73,12,0,0,256,224,0,87.5,A-,0,0.0,87.5,A-,,"Vadney, Herbert",87.5,0.0,A-
Rep. Michael Moffett (R),"Moffett, Michael",Michael,Moffett,R,Merrimack,9,Merrimack-9,407144,85,85,72,11,2,0,256,222,2.4,86.7,B+,0,0.0,86.7,B+,,"Moffett, Michael",86.7,0.0,B+
Rep. Caleb Dyer (L),"Dyer, Caleb",Caleb,Dyer,L,Hillsborough,37,Hillsborough-37,408356,85,85,54,1,30,0,256,210,35.3,82,B+,11.6666669249534,4.6,86.6,B+,,"Dyer, Caleb",82,11.7,B+
Rep. Lisa Freeman (R),"Freeman, Lisa",Lisa,Freeman,R,Hillsborough,12,Hillsborough-12,408324,85,85,68,13,4,0,256,220.5,4.7,86.1,B+,0,0.0,86.1,B+,,"Freeman, Lisa",86.1,0.0,B+
Rep. Michael Vose (R),"Vose, Michael",Michael,Vose,R,Rockingham,9,Rockingham-9,377272,85,85,67,17,1,0,256,212,1.2,82.8,B+,8,3.1,85.9,B+,,"Vose, Michael",82.8,8.0,B+
Rep. James McConnell (R),"McConnell, James",James,McConnell,R,Cheshire,12,Cheshire-12,377287,85,85,72,13,0,0,256,227,0,88.7,A-,-7.49999995529651,-2.9,85.8,B+,,"McConnell, James",88.7,-7.5,B+
Rep. Thomas Kaczynski (R),"Kaczynski, Thomas",Thomas,Kaczynski,R,Strafford,22,Strafford-22,377241,85,85,64,4,17,0,256,218.5,20,85.4,B+,0,0.0,85.4,B+,,"Kaczynski, Thomas",85.4,0.0,B+
Rep. Joseph Pitre (R),"Pitre, Joseph",Joseph,Pitre,R,Strafford,2,Strafford-2,377005,85,85,70,13,2,0,256,218,2.4,85.2,B+,0,0.0,85.2,B+,,"Pitre, Joseph",85.2,0.0,B+
Rep. Glenn Cordelli (R),"Cordelli, Glenn",Glenn,Cordelli,R,Carroll,4,Carroll-4,377085,85,85,68,13,4,0,256,214,4.7,83.6,B+,3.33333337306976,1.3,84.9,B+,,"Cordelli, Glenn",83.6,3.3,B+
Rep. Jason Osborne (R),"Osborne, Jason",Jason,Osborne,R,Rockingham,4,Rockingham-4,377253,85,85,61,1,23,0,256,217,27.1,84.8,B+,0,0.0,84.8,B+,,"Osborne, Jason",84.8,0.0,B+
Rep. Anne Copp (R),"Copp, Anne",Anne,Copp,R,Merrimack,1,Merrimack-1,408750,85,85,67,10,8,0,256,215.5,9.4,84.2,B+,0,0.0,84.2,B+,,"Copp, Anne",84.2,0.0,B+
Rep. Bill Kuch (R),"Kuch, Bill",Bill,Kuch,R,Merrimack,23,Merrimack-23,377244,85,85,71,14,0,0,256,215,0,84,B+,0,0.0,84,B+,,"Kuch, Bill",84,0.0,B+
Rep. Carolyn Halstead (R),"Halstead, Carolyn",Carolyn,Halstead,R,Hillsborough,23,Hillsborough-23,377301,85,85,58,4,23,0,256,214,27.1,83.6,B+,0,0.0,83.6,B+,,"Halstead, Carolyn",83.6,0.0,B+
Rep. Gary Hopper (R),"Hopper, Gary",Gary,Hopper,R,Hillsborough,2,Hillsborough-2,376353,85,85,62,12,11,0,256,214,12.9,83.6,B+,0,0.0,83.6,B+,,"Hopper, Gary",83.6,0.0,B+
Rep. Josh Moore (R),"Moore, Josh",Josh,Moore,R,Hillsborough,21,Hillsborough-21,377252,85,85,61,6,18,0,256,212.5,21.2,83,B+,1.33333337306976,0.5,83.5,B+,,"Moore, Josh",83,1.3,B+
Rep. Alfred Baldasaro (R),"Baldasaro, Alfred",Alfred,Baldasaro,R,Rockingham,5,Rockingham-5,376740,85,85,66,7,12,0,256,218.5,14.1,85.4,B+,-5.33333326876163,-2.1,83.3,B+,,"Baldasaro, Alfred",85.4,-5.3,B+
Rep. Dennis Green (R),"Green, Dennis",Dennis,Green,R,Rockingham,13,Rockingham-13,377777,85,85,71,13,1,0,256,212,1.2,82.8,B+,1.33333337306976,0.5,83.3,B+,,"Green, Dennis",82.8,1.3,B+
Rep. Steve Negron (R),"Negron, Steve",Steve,Negron,R,Hillsborough,32,Hillsborough-32,408350,85,85,65,14,6,0,256,211,7.1,82.4,B+,0,0.0,82.4,B+,,"Negron, Steve",82.4,0.0,B+
Rep. Leonard Turcotte (R),"Turcotte, Leonard",Leonard,Turcotte,R,Strafford,4,Strafford-4,377269,85,85,62,8,15,0,256,209,17.6,81.6,B+,1.6666667163372,0.7,82.3,B+,,"Turcotte, Leonard",81.6,1.7,B+
Rep. Lynne Ober (R),"Ober, Lynne",Lynne,Ober,R,Hillsborough,37,Hillsborough-37,376609,85,85,64,13,8,0,256,210.5,9.4,82.2,B+,0,0.0,82.2,B+,,"Ober, Lynne",82.2,0.0,B+
Rep. Richard Gordon (R),"Gordon, Richard",Richard,Gordon,R,Rockingham,35,Rockingham-35,377104,85,85,65,12,8,0,256,209.5,9.4,81.8,B+,0,0.0,81.8,B+,,"Gordon, Richard",81.8,0.0,B+
Rep. Douglas Thomas (R),"Thomas, Douglas",Douglas,Thomas,R,Rockingham,5,Rockingham-5,377267,85,85,68,16,1,0,256,207,1.2,80.9,B+,2.33333334326744,0.9,81.8,B+,,"Thomas, Douglas",80.9,2.3,B+
Rep. Andrew Renzullo (R),"Renzullo, Andrew",Andrew,Renzullo,R,Hillsborough,37,Hillsborough-37,376618,85,85,68,16,1,0,256,212,1.2,82.8,B+,-3.66666662693023,-1.4,81.4,B+,,"Renzullo, Andrew",82.8,-3.7,B+
Rep. Gregory Hill (R),"Hill, Gregory",Gregory,Hill,R,Merrimack,3,Merrimack-3,376948,85,85,67,17,1,0,256,205,1.2,80.1,B+,3.16666674613952,1.2,81.3,B+,,"Hill, Gregory",80.1,3.2,B+
