FullName,LastFirst,FirstName,LastName,Party,County,District,FormattedDistrict,EmployeeNo,InOfficeCount,PossibleVoteCount,CorrectVoteCount,IncorrectVoteCount,AbsenceCount,PresidingCount,MaxLegislatorScore,RawScore,PercentMissed,VotingPercent,VotingGrade,SponsorRawScore,CombinedPercent,CombinedGrade
Rep. Emily Phillips (R),"Phillips, Emily",Emily,Phillips,R,Rockingham,7,Rockingham-07,409152,108,108,107,1,0,0,192.5,192,0,99.7402597402597,A+,4.249999999975,103.990259740235,A+
Rep. Tom Mannion (R),"Mannion, Tom",Tom,Mannion,R,Hillsborough,1,Hillsborough-01,409126,108,108,108,0,0,0,192.5,192.5,0,100,A+,3.666666666675,103.666666666675,A+
Rep. Tony Lekas (R),"Lekas, Tony",Tony,Lekas,R,Hillsborough,38,Hillsborough-38,408881,108,108,107,1,0,0,192.5,191.5,0,99.4805194805195,A+,3.166666666625,102.647186147145,A+
Rep. Josh Yokela (R),"Yokela, Josh",Josh,Yokela,R,Rockingham,32,Rockingham-32,408926,108,108,107,1,0,0,192.5,190.5,0,98.961038961039,A+,3.416666666675,102.377705627714,A+
Rep. Dan McGuire (R),"McGuire, Dan",Dan,McGuire,R,Merrimack,14,Merrimack-14,376984,108,108,108,0,0,0,192.5,192.5,0,100,A+,1.4166666666,101.4166666666,A+
Rep. Michael Granger (R),"Granger, Michael",Michael,Granger,R,Strafford,2,Strafford-02,409103,108,108,106,2,0,0,192.5,189.5,0,98.4415584415584,A+,2.333333333275,100.774891774833,A+
Rep. Julius Soti (R),"Soti, Julius",Julius,Soti,R,Rockingham,35,Rockingham-35,409036,108,108,105,1,2,0,192.5,190.5,1.85185185185185,98.961038961039,A+,1.583333333225,100.544372294264,A+
Rep. Alicia Lekas (R),"Lekas, Alicia",Alicia,Lekas,R,Hillsborough,38,Hillsborough-38,408880,108,108,104,4,0,0,192.5,185.5,0,96.3636363636364,A,4.16666666665,100.530303030286,A+
Rep. Glenn Bailey (R),"Bailey, Glenn",Glenn,Bailey,R,Strafford,2,Strafford-02,409046,108,108,107,1,0,0,192.5,191.5,0,99.4805194805195,A+,1.000000000025,100.480519480545,A+
Rep. Michael Costable (R),"Costable, Michael",Michael,Costable,R,Carroll,8,Carroll-08,408389,108,108,107,1,0,0,192.5,191.5,0,99.4805194805195,A+,0,99.4805194805195,A+
